order_id: o_00000, user_id: u_0000000001, prod_id: 1480449, order_time: 01-01-2022_07:53:05
order_id: o_00001, user_id: u_0000000009, prod_id: 1719796, order_time: 01-01-2022_15:46:10
order_id: o_00002, user_id: u_0000000003, prod_id: 1298745, order_time: 01-01-2022_23:39:15
order_id: o_00003, user_id: u_0000000009, prod_id: 1559136, order_time: 02-01-2022_07:32:20
order_id: o_00004, user_id: u_0000000010, prod_id: 1396238, order_time: 02-01-2022_15:25:25
order_id: o_00005, user_id: u_0000000004, prod_id: 1283229, order_time: 02-01-2022_23:18:30
order_id: o_00006, user_id: u_0000000001, prod_id: 1470574, order_time: 03-01-2022_07:11:35
order_id: o_00007, user_id: u_0000000009, prod_id: 1289050, order_time: 03-01-2022_15:04:40
order_id: o_00008, user_id: u_0000000007, prod_id: 1064161, order_time: 03-01-2022_22:57:45
order_id: o_00009, user_id: u_0000000007, prod_id: 1442253, order_time: 04-01-2022_06:50:50
order_id: o_00010, user_id: u_0000000002, prod_id: 1557215, order_time: 04-01-2022_14:43:55
order_id: o_00011, user_id: u_0000000009, prod_id: 1093315, order_time: 04-01-2022_22:37:00
order_id: o_00012, user_id: u_0000000005, prod_id: 1637734, order_time: 05-01-2022_06:30:05
order_id: o_00013, user_id: u_0000000002, prod_id: 1048007, order_time: 05-01-2022_14:23:10
order_id: o_00014, user_id: u_0000000003, prod_id: 1567816, order_time: 05-01-2022_22:16:15
order_id: o_00015, user_id: u_0000000003, prod_id: 1119377, order_time: 06-01-2022_06:09:20
order_id: o_00016, user_id: u_0000000001, prod_id: 1577346, order_time: 06-01-2022_14:02:25
order_id: o_00017, user_id: u_0000000002, prod_id: 1396173, order_time: 06-01-2022_21:55:30
order_id: o_00018, user_id: u_0000000005, prod_id: 1488936, order_time: 07-01-2022_05:48:35
order_id: o_00019, user_id: u_0000000002, prod_id: 1391433, order_time: 07-01-2022_13:41:40
order_id: o_00020, user_id: u_0000000005, prod_id: 1586774, order_time: 07-01-2022_21:34:45
order_id: o_00021, user_id: u_0000000005, prod_id: 1355270, order_time: 08-01-2022_05:27:50
order_id: o_00022, user_id: u_0000000005, prod_id: 1176813, order_time: 08-01-2022_13:20:55
order_id: o_00023, user_id: u_0000000010, prod_id: 1586691, order_time: 08-01-2022_21:14:00
order_id: o_00024, user_id: u_0000000006, prod_id: 1724611, order_time: 09-01-2022_05:07:05
order_id: o_00025, user_id: u_0000000009, prod_id: 1360215, order_time: 09-01-2022_13:00:10
order_id: o_00026, user_id: u_0000000002, prod_id: 1231139, order_time: 09-01-2022_20:53:15
order_id: o_00027, user_id: u_0000000007, prod_id: 1381153, order_time: 10-01-2022_04:46:20
order_id: o_00028, user_id: u_0000000008, prod_id: 1551496, order_time: 10-01-2022_12:39:25
order_id: o_00029, user_id: u_0000000004, prod_id: 1324097, order_time: 10-01-2022_20:32:30
order_id: o_00030, user_id: u_0000000001, prod_id: 1665552, order_time: 11-01-2022_04:25:35
order_id: o_00031, user_id: u_0000000003, prod_id: 1582341, order_time: 11-01-2022_12:18:40
